KB,Read Time (ns),Read Time / Number (ns)
1523,643053,422
1524,747400,490
1525,681405,446
1526,667922,437
1527,641816,420
1528,739625,484
1529,663093,433
1530,651603,425
1531,715385,467
1532,663486,433
1533,650069,424
1534,673570,439
1535,669227,435
1536,729786,475
1537,665994,433
1538,681997,443
1539,663859,431
1540,669208,434
1541,664653,431
1542,647015,419
1543,656557,425
1544,690478,447
1545,674349,436
1546,674177,436
1547,734412,474
1548,682156,440
1549,662038,427
1550,683257,440
1551,664844,428
1552,708031,456
1553,691373,445
1554,662780,426
1555,700491,450
1556,659897,424
1557,676395,434
1558,782823,502
1559,698032,447
1560,703341,450
1561,672184,430
1562,709464,454
1563,726869,465
1564,687362,439
1565,715749,457
1566,700032,447
1567,671011,428
1568,704976,449
1569,773797,493
1570,670094,426
1571,667842,425
1572,700914,445
1573,690206,438
1574,686960,436
1575,715205,454
1576,685900,435
1577,668440,423
1578,685948,434
1579,680608,431
1580,666032,421
1581,652638,412
1582,676182,427
1583,683327,431
1584,726577,458
1585,673818,425
1586,731341,461
1587,709870,447
1588,682507,429
1589,667467,420
1590,679015,427
1591,694221,436
1592,696535,437
1593,693512,435
1594,667423,418
1595,749376,469
1596,701166,439
1597,764885,478
1598,706606,442
1599,720431,450
1600,662128,413
1601,696319,434
1602,752042,469
1603,798155,497
1604,729301,454
1605,724253,451
1606,683447,425
1607,811940,505
1608,702176,436
1609,691041,429
1610,734126,455
1611,735391,456
1612,665399,412
1613,687754,426
1614,815568,505
1615,719203,445
1616,681888,421
1617,716613,443
1618,748844,462
1619,726329,448
1620,707873,436
1621,691979,426
1622,696635,429
1623,709553,437
1624,686714,422
1625,701333,431
1626,723887,445
1627,1143109,702
1628,682242,419
1629,684767,420
1630,683197,419
1631,692917,424
1632,705084,432
1633,691089,423
1634,695362,425
1635,779125,476
1636,729877,446
1637,717946,438
1638,728644,444
1639,796076,485
1640,810573,494
1641,716699,436
1642,755461,460
1643,711269,432
1644,742735,451
1645,730652,444
1646,731490,444
1647,724625,439
1648,696013,422
1649,730433,442
1650,748329,453
1651,702939,425
1652,745399,451
1653,721326,436
1654,726232,439
1655,822717,497
1656,730764,441
1657,726984,438
1658,701688,423
1659,695376,419
1660,793506,478
1661,695346,418
1662,700543,421
1663,756162,454
1664,714371,429
1665,718513,431
1666,714626,428
1667,689666,413
1668,749392,449
1669,736348,441
1670,734760,439
1671,773888,463
1672,713624,426
1673,716253,428
1674,706169,421
1675,749124,447
1676,740223,441
1677,766261,456
1678,785531,468
1679,736969,438
1680,705325,419
1681,748873,445
1682,731368,434
1683,801795,476
1684,746346,443
1685,720348,427
1686,713587,423
1687,706028,418
1688,725749,429
1689,729540,431
1690,762128,450
1691,746450,441
1692,716054,423
1693,721045,425
1694,779313,460
1695,744702,439
1696,727267,428
1697,758088,446
1698,770537,453
1699,708370,416
1700,732392,430
1701,730885,429
1702,754926,443
1703,727605,427
1704,729985,428
1705,794771,466
1706,801304,469
1707,700193,410
1708,722155,422
1709,737422,431
1710,736629,430
1711,751419,439
1712,735973,429
1713,782973,457
1714,753751,439
1715,710852,414
1716,712752,415
1717,716794,417
1718,738159,429
1719,745568,433
1720,754160,438
1721,731358,424
1722,735198,426
1723,797136,462
1724,765382,443
1725,769834,446
1726,747197,432
1727,772586,447
1728,717639,415
1729,733552,424
1730,743717,429
1731,762697,440
1732,716928,413
1733,801135,462
1734,777662,448
1735,779084,449
1736,793523,457
1737,741930,427
1738,748447,430
1739,765043,439
1740,751178,431
1741,843703,484
1742,821260,471
1743,769247,441
1744,731454,419
1745,746792,427
1746,813999,466
1747,746803,427
1748,770009,440
1749,768989,439
1750,756813,432
1751,830795,474
1752,830855,474
1753,775236,442
1754,724144,412
1755,745463,424
1756,763063,434
1757,768204,437
1758,772257,439
1759,791027,449
1760,755248,429
1761,738928,419
1762,756187,429
1763,756023,428
1764,780318,442
1765,813425,460
1766,746244,422
1767,791608,447
1768,731157,413
1769,786630,444
1770,772388,436
1771,818144,461
1772,742248,418
1773,799669,451
1774,852042,480
1775,759512,427
1776,767595,432
1777,779015,438
1778,884051,497
1779,773401,434
1780,787334,442
1781,792655,445
1782,789433,443
1783,848332,475
1784,740198,414
1785,789542,442
1786,747085,418
1787,784460,438
1788,766129,428
1789,775185,433
1790,752503,420
1791,801365,447
1792,760709,424
1793,773779,431
1794,900113,501
1795,793798,442
1796,813176,452
1797,935100,520
1798,841445,467
1799,753089,418
1800,797365,442
1801,755738,419
1802,805971,447
1803,796995,442
1804,751500,416
1805,795236,440
1806,775529,429
1807,787757,435
1808,855928,473
1809,787730,435
1810,832011,459
1811,761172,420
1812,771025,425
1813,782583,431
1814,881065,485
1815,791353,436
1816,842521,463
1817,808266,444
1818,743226,408
1819,798844,439
1820,769534,422
1821,828102,454
1822,797611,437
1823,822402,451
1824,805278,441
1825,931672,510
1826,763128,417
1827,826284,452
1828,778320,425
1829,796412,435
1830,789052,431
1831,777419,424
1832,764622,417
1833,800415,436
1834,843897,460
1835,776289,423
1836,794204,432
1837,835479,454
1838,781936,425
1839,806931,438
1840,780936,424
1841,768096,417
1842,798677,433
1843,850263,461
1844,817158,443
1845,852412,462
1846,862887,467
1847,820156,444
1848,786372,425
1849,843521,456
1850,766713,414
1851,848953,458
1852,816146,440
1853,778041,419
1854,842178,454
1855,775396,418
