MB,Read Time (ns),Read Time / Number (ns)
1288,3522257,2734
1289,3069126,2381
1290,3163331,2452
1291,3109684,2408
1292,3146125,2435
1293,3143538,2431
1294,3182018,2459
1295,3074025,2373
1296,3180916,2454
1297,3133645,2416
1298,3169934,2442
1299,3127566,2407
1300,3196728,2459
1301,3228099,2481
1302,3163006,2429
1303,3134041,2405
1304,3263295,2502
1305,3143428,2408
1306,3283685,2514
1307,3303710,2527
1308,3207262,2452
1309,3285143,2509
1310,3217302,2455
1311,3700470,2822
1312,3322348,2532
1313,3237688,2465
1314,3214456,2446
1315,3214073,2444
1316,3251243,2470
1317,3235971,2457
1318,3278738,2487
1319,3171040,2404
1320,3251105,2462
1321,3167546,2397
1322,3271212,2474
1323,3175040,2399
1324,3286103,2481
1325,3231631,2438
1326,3230000,2435
1327,3444753,2595
1328,3385300,2549
1329,3398771,2557
1330,3881408,2918
1331,3406803,2559
1332,3241404,2433
1333,3167464,2376
1334,3184643,2387
1335,3500188,2621
1336,3244230,2428
1337,3393691,2538
1338,3224047,2409
1339,3384981,2527
1340,3237949,2416
1341,4538962,3384
1342,3234076,2409
1343,3264486,2430
1344,3316476,2467
1345,3222523,2395
1346,3229685,2399
1347,3247208,2410
1348,3571176,2649
1349,3262990,2418
1350,3444090,2551
1351,3554398,2630
1352,3253734,2406
1353,3181932,2351
1354,3277967,2420
1355,3461012,2554
1356,3273052,2413
1357,3422018,2521
1358,3269624,2407
1359,3345460,2461
1360,3223872,2370
1361,3272242,2404
1362,3291933,2416
1363,3331193,2444
1364,3246291,2379
1365,3313549,2427
1366,3395145,2485
1367,3263730,2387
1368,3421338,2500
1369,3322844,2427
1370,3466127,2530
1371,3467291,2529
1372,3310605,2412
1373,3330618,2425
1374,3339994,2430
1375,3358325,2442
1376,3302068,2399
1377,3317988,2409
1378,3308423,2400
1379,3419147,2479
1380,3302322,2392
1381,3502390,2536
1382,3316421,2399
1383,3693313,2670
1384,3276270,2367
1385,3371695,2434
1386,3452643,2491
1387,3344499,2411
1388,3358046,2419
1389,3349553,2411
1390,3403702,2448
1391,3389545,2436
1392,3543887,2545
1393,3294243,2364
1394,3990559,2862
1395,3368013,2414
1396,3339564,2392
1397,3367447,2410
1398,3379333,2417
1399,4334723,3098
1400,3392502,2423
1401,3553121,2536
1402,3403324,2427
1403,3434102,2447
1404,3414979,2432
1405,3315464,2359
1406,3426845,2437
1407,3366535,2392
1408,3303597,2346
1409,3483245,2472
1410,3364521,2386
1411,3362976,2383
1412,3608176,2555
1413,3414670,2416
1414,3629479,2566
1415,3449859,2438
1416,3428217,2421
1417,3322327,2344
1418,3869050,2728
1419,3492352,2461
1420,3472845,2445
1421,3520169,2477
1422,3444721,2422
1423,3638970,2557
1424,3390922,2381
1425,3479221,2441
1426,3461736,2427
1427,3426227,2401
1428,3423908,2397
1429,3534510,2473
1430,3623017,2533
1431,3463842,2420
1432,3572085,2494
1433,3407473,2377
1434,3482697,2428
1435,3463145,2413
1436,3451071,2403
1437,3425766,2383
1438,3436795,2389
1439,3458261,2403
1440,3441234,2389
1441,3611519,2506
1442,3495333,2423
1443,3686193,2554
1444,3518712,2436
1445,3504633,2425
1446,3550466,2455
1447,3606917,2492
1448,3520113,2431
1449,3561058,2457
1450,3694438,2547
1451,3516793,2423
1452,3738975,2575
1453,3577260,2461
1454,3508407,2412
1455,3501288,2406
1456,3561280,2445
1457,3659255,2511
1458,3618023,2481
1459,3726210,2553
1460,3495456,2394
1461,3582907,2452
1462,3511874,2402
1463,3529560,2412
1464,3546377,2422
1465,3502691,2390
1466,3621103,2470
1467,3497738,2384
1468,3584203,2441
1469,3472318,2363
1470,3516354,2392
1471,3491993,2373
1472,3639222,2472
1473,3579606,2430
1474,3621281,2456
1475,3645841,2471
1476,3626525,2456
1477,3571759,2418
1478,3568171,2414
1479,3555809,2404
1480,3655308,2469
1481,3584203,2420
1482,3747928,2528
1483,3643336,2456
1484,3815414,2571
1485,3561235,2398
1486,3635273,2446
1487,3637945,2446
1488,3564977,2395
1489,3798161,2550
1490,3663460,2458
1491,3830545,2569
1492,3717052,2491
1493,3596355,2408
1494,3646876,2441
1495,3604808,2411
1496,3794711,2536
1497,3601699,2405
1498,3662316,2444
1499,3616942,2412
1500,3705540,2470
1501,3752641,2500
1502,3752973,2498
1503,3836360,2552
1504,3640054,2420
1505,3698519,2457
1506,3726291,2474
1507,3606945,2393
1508,3894914,2582
1509,3629045,2404
1510,3717823,2462
1511,4679741,3097
1512,3713724,2456
1513,3812459,2519
1514,3847552,2541
1515,3650113,2409
1516,3671244,2421
1517,3663816,2415
1518,3666166,2415
1519,4048128,2664
1520,5469271,3598
1521,4499420,2958
1522,3676661,2415
1523,3693097,2424
1524,3683954,2417
1525,3876429,2541
1526,3662844,2400
